geo_accession,split,species
GSM1703087,TRAIN,HUMAN
GSM1703114,TRAIN,HUMAN
GSM1703131,TRAIN,HUMAN
GSM1703175,TRAIN,HUMAN
GSM1703706,TRAIN,HUMAN
GSM1704408,TRAIN,HUMAN
GSM1704435,TRAIN,HUMAN
GSM1709925,TRAIN,HUMAN
GSM1716663,TRAIN,HUMAN
GSM1723350,TRAIN,HUMAN
GSM1724092,TRAIN,HUMAN
GSM1726441,TRAIN,HUMAN
GSM1726615,TRAIN,HUMAN
GSM1752956,TRAIN,HUMAN
GSM1755404,TRAIN,HUMAN
GSM1778905,TRAIN,HUMAN
GSM1808871,TRAIN,HUMAN
GSM1816177,TRAIN,HUMAN
GSM1816429,TRAIN,HUMAN
GSM1817131,TRAIN,HUMAN
GSM1820976,TRAIN,HUMAN
GSM1821972,TRAIN,HUMAN
GSM1821976,TRAIN,HUMAN
GSM1832741,TRAIN,HUMAN
GSM1833895,TRAIN,HUMAN
GSM1833908,TRAIN,HUMAN
GSM1836110,TRAIN,HUMAN
GSM1836134,TRAIN,HUMAN
GSM1836136,TRAIN,HUMAN
GSM1841080,TRAIN,HUMAN
GSM1847018,TRAIN,HUMAN
GSM1848208,TRAIN,HUMAN
GSM1848822,TRAIN,HUMAN
GSM1858939,TRAIN,HUMAN
GSM1861912,TRAIN,HUMAN
GSM1863667,TRAIN,HUMAN
GSM1864229,TRAIN,HUMAN
GSM1865462,TRAIN,HUMAN
GSM1872929,TRAIN,HUMAN
GSM1872974,TRAIN,HUMAN
GSM1873010,TRAIN,HUMAN
GSM1875304,TRAIN,HUMAN
GSM1875314,TRAIN,HUMAN
GSM1876304,TRAIN,HUMAN
GSM1880786,TRAIN,HUMAN
GSM1886850,TRAIN,HUMAN
GSM1888330,TRAIN,HUMAN
GSM1888649,TRAIN,HUMAN
GSM1888659,TRAIN,HUMAN
GSM1890698,TRAIN,HUMAN
GSM1890706,TRAIN,HUMAN
GSM1890815,TRAIN,HUMAN
GSM1890840,TRAIN,HUMAN
GSM1896203,TRAIN,HUMAN
GSM1896233,TRAIN,HUMAN
GSM1896260,TRAIN,HUMAN
GSM1897314,TRAIN,HUMAN
GSM1897354,TRAIN,HUMAN
GSM1898007,TRAIN,HUMAN
GSM1898287,TRAIN,HUMAN
GSM1899727,TRAIN,HUMAN
GSM1901025,TRAIN,HUMAN
GSM1901031,TRAIN,HUMAN
GSM1902619,TRAIN,HUMAN
GSM1906398,TRAIN,HUMAN
GSM1906573,TRAIN,HUMAN
GSM1907123,TRAIN,HUMAN
GSM1908544,TRAIN,HUMAN
GSM1914464,TRAIN,HUMAN
GSM1915600,TRAIN,HUMAN
GSM1915605,TRAIN,HUMAN
GSM1915614,TRAIN,HUMAN
GSM1915630,TRAIN,HUMAN
GSM1917099,TRAIN,HUMAN
GSM1917124,TRAIN,HUMAN
GSM1920675,TRAIN,HUMAN
GSM1920688,TRAIN,HUMAN
GSM1924799,TRAIN,HUMAN
GSM1924803,TRAIN,HUMAN
GSM1930385,TRAIN,HUMAN
GSM1930434,TRAIN,HUMAN
GSM1933872,TRAIN,HUMAN
GSM1937904,TRAIN,HUMAN
GSM1938985,TRAIN,HUMAN
GSM1939585,TRAIN,HUMAN
GSM1939637,TRAIN,HUMAN
GSM1946009,TRAIN,HUMAN
GSM1960339,TRAIN,HUMAN
GSM1960350,TRAIN,HUMAN
GSM1963886,TRAIN,HUMAN
GSM1968001,TRAIN,HUMAN
GSM1970051,TRAIN,HUMAN
GSM1970075,TRAIN,HUMAN
GSM1970438,TRAIN,HUMAN
GSM1974246,TRAIN,HUMAN
GSM1977402,TRAIN,HUMAN
GSM1980050,TRAIN,HUMAN
GSM1981103,TRAIN,HUMAN
GSM1982299,TRAIN,HUMAN
GSM2011219,TRAIN,HUMAN
GSM2011263,TRAIN,HUMAN
GSM2026065,TRAIN,HUMAN
GSM2026934,TRAIN,HUMAN
GSM2026943,TRAIN,HUMAN
GSM2027516,TRAIN,HUMAN
GSM2033150,TRAIN,HUMAN
GSM2035728,TRAIN,HUMAN
GSM2035740,TRAIN,HUMAN
GSM2036330,TRAIN,HUMAN
GSM2037149,TRAIN,HUMAN
GSM2039398,TRAIN,HUMAN
GSM2039401,TRAIN,HUMAN
GSM2042804,TRAIN,HUMAN
GSM2047807,TRAIN,HUMAN
GSM2048554,TRAIN,HUMAN
GSM2048664,TRAIN,HUMAN
GSM2048692,TRAIN,HUMAN
GSM2048774,TRAIN,HUMAN
GSM2053458,TRAIN,HUMAN
GSM2053465,TRAIN,HUMAN
GSM2053481,TRAIN,HUMAN
GSM2055803,TRAIN,HUMAN
GSM2058182,TRAIN,HUMAN
GSM2059220,TRAIN,HUMAN
GSM2065360,TRAIN,HUMAN
GSM2067381,TRAIN,HUMAN
GSM2067386,TRAIN,HUMAN
GSM2068645,TRAIN,HUMAN
GSM2069842,TRAIN,HUMAN
GSM2071485,TRAIN,HUMAN
GSM2071647,TRAIN,HUMAN
GSM2071754,TRAIN,HUMAN
GSM2072168,TRAIN,HUMAN
GSM2072488,TRAIN,HUMAN
GSM2072516,TRAIN,HUMAN
GSM2072556,TRAIN,HUMAN
GSM2081492,TRAIN,HUMAN
GSM2082069,TRAIN,HUMAN
GSM2082541,TRAIN,HUMAN
GSM2084375,TRAIN,HUMAN
GSM2085597,TRAIN,HUMAN
GSM2088032,TRAIN,HUMAN
GSM2088050,TRAIN,HUMAN
GSM2088058,TRAIN,HUMAN
GSM2090612,TRAIN,HUMAN
GSM2090643,TRAIN,HUMAN
GSM2090895,TRAIN,HUMAN
GSM2092943,TRAIN,HUMAN
GSM2093012,TRAIN,HUMAN
GSM2093039,TRAIN,HUMAN
GSM2093048,TRAIN,HUMAN
GSM2093070,TRAIN,HUMAN
GSM2093165,TRAIN,HUMAN
GSM2094787,TRAIN,HUMAN
GSM2098637,TRAIN,HUMAN
GSM2098715,TRAIN,HUMAN
GSM2098978,TRAIN,HUMAN
GSM2100113,TRAIN,HUMAN
GSM2100180,TRAIN,HUMAN
GSM2100212,TRAIN,HUMAN
GSM2100238,TRAIN,HUMAN
GSM2100241,TRAIN,HUMAN
GSM2100625,TRAIN,HUMAN
GSM2107372,TRAIN,HUMAN
GSM2109335,TRAIN,HUMAN
GSM2109397,TRAIN,HUMAN
GSM2109427,TRAIN,HUMAN
GSM2109450,TRAIN,HUMAN
GSM2111052,TRAIN,HUMAN
GSM2111060,TRAIN,HUMAN
GSM2113305,TRAIN,HUMAN
GSM2113552,TRAIN,HUMAN
GSM2114053,TRAIN,HUMAN
GSM2114059,TRAIN,HUMAN
GSM2114192,TRAIN,HUMAN
GSM2123983,TRAIN,HUMAN
GSM2124043,TRAIN,HUMAN
GSM2124714,TRAIN,HUMAN
GSM2124748,TRAIN,HUMAN
GSM2125496,TRAIN,HUMAN
GSM2125948,TRAIN,HUMAN
GSM2126065,TRAIN,HUMAN
GSM2131116,TRAIN,HUMAN
GSM2132131,TRAIN,HUMAN
GSM2132211,TRAIN,HUMAN
GSM2132249,TRAIN,HUMAN
GSM2132267,TRAIN,HUMAN
GSM2132360,TRAIN,HUMAN
GSM2132396,TRAIN,HUMAN
GSM2132423,TRAIN,HUMAN
GSM2133493,TRAIN,HUMAN
GSM2133534,TRAIN,HUMAN
GSM2133925,TRAIN,HUMAN
GSM2136955,TRAIN,HUMAN
GSM2137717,TRAIN,HUMAN
GSM2138506,TRAIN,HUMAN
GSM2138733,TRAIN,HUMAN
GSM2138747,TRAIN,HUMAN
GSM2138805,TRAIN,HUMAN
GSM2138858,TRAIN,HUMAN
GSM2138866,TRAIN,HUMAN
GSM2138898,TRAIN,HUMAN
GSM2141285,TRAIN,HUMAN
GSM2141523,TRAIN,HUMAN
GSM2141532,TRAIN,HUMAN
GSM2141577,TRAIN,HUMAN
GSM2141578,TRAIN,HUMAN
GSM2141581,TRAIN,HUMAN
GSM2141613,TRAIN,HUMAN
GSM2141638,TRAIN,HUMAN
GSM2142226,TRAIN,HUMAN
GSM2142422,TRAIN,HUMAN
GSM2142503,TRAIN,HUMAN
GSM2142518,TRAIN,HUMAN
GSM2142561,TRAIN,HUMAN
GSM2142645,TRAIN,HUMAN
GSM2144769,TRAIN,HUMAN
GSM2147660,TRAIN,HUMAN
GSM2147881,TRAIN,HUMAN
GSM2147916,TRAIN,HUMAN
GSM2147929,TRAIN,HUMAN
GSM2151861,TRAIN,HUMAN
GSM2154813,TRAIN,HUMAN
GSM2155015,TRAIN,HUMAN
GSM2175979,TRAIN,HUMAN
GSM2176117,TRAIN,HUMAN
GSM2176121,TRAIN,HUMAN
GSM2176281,TRAIN,HUMAN
GSM2178733,TRAIN,HUMAN
GSM2178763,TRAIN,HUMAN
GSM2183025,TRAIN,HUMAN
GSM2183595,TRAIN,HUMAN
GSM2183701,TRAIN,HUMAN
GSM2184045,TRAIN,HUMAN
GSM2185659,TRAIN,HUMAN
GSM2185672,TRAIN,HUMAN
GSM2185732,TRAIN,HUMAN
GSM2188215,TRAIN,HUMAN
GSM2188261,TRAIN,HUMAN
GSM2190594,TRAIN,HUMAN
GSM2192655,TRAIN,HUMAN
GSM2192669,TRAIN,HUMAN
GSM2194116,TRAIN,HUMAN
GSM2197627,TRAIN,HUMAN
GSM2197629,TRAIN,HUMAN
GSM2199522,TRAIN,HUMAN
GSM2199527,TRAIN,HUMAN
GSM2204104,TRAIN,HUMAN
GSM2204238,TRAIN,HUMAN
GSM2205848,TRAIN,HUMAN
GSM2205853,TRAIN,HUMAN
GSM2209024,TRAIN,HUMAN
GSM2209637,TRAIN,HUMAN
GSM2210779,TRAIN,HUMAN
GSM2210780,TRAIN,HUMAN
GSM2211813,TRAIN,HUMAN
GSM2212651,TRAIN,HUMAN
GSM2212657,TRAIN,HUMAN
GSM2220786,TRAIN,HUMAN
GSM2225660,TRAIN,HUMAN
GSM2226547,TRAIN,HUMAN
GSM2226738,TRAIN,HUMAN
GSM2227659,TRAIN,HUMAN
GSM2228431,TRAIN,HUMAN
GSM2228762,TRAIN,HUMAN
GSM2229905,TRAIN,HUMAN
GSM2232184,TRAIN,HUMAN
GSM2232207,TRAIN,HUMAN
GSM2232694,TRAIN,HUMAN
GSM2232709,TRAIN,HUMAN
GSM2232713,TRAIN,HUMAN
GSM2232925,TRAIN,HUMAN
GSM2236212,TRAIN,HUMAN
GSM2241819,TRAIN,HUMAN
GSM2242611,TRAIN,HUMAN
GSM2248013,TRAIN,HUMAN
GSM2248145,TRAIN,HUMAN
GSM2249292,TRAIN,HUMAN
GSM2252671,TRAIN,HUMAN
GSM2255511,TRAIN,HUMAN
GSM2255539,TRAIN,HUMAN
GSM2256113,TRAIN,HUMAN
GSM2256124,TRAIN,HUMAN
GSM2256125,TRAIN,HUMAN
GSM2256174,TRAIN,HUMAN
GSM2256177,TRAIN,HUMAN
GSM2257558,TRAIN,HUMAN
GSM2257962,TRAIN,HUMAN
GSM2259087,TRAIN,HUMAN
GSM2259933,TRAIN,HUMAN
GSM2262393,TRAIN,HUMAN
GSM2262400,TRAIN,HUMAN
GSM2262402,TRAIN,HUMAN
GSM2263378,TRAIN,HUMAN
GSM2266821,TRAIN,HUMAN
GSM2267301,TRAIN,HUMAN
GSM2267340,TRAIN,HUMAN
GSM2274933,TRAIN,HUMAN
GSM2274946,TRAIN,HUMAN
GSM2274969,TRAIN,HUMAN
GSM2275109,TRAIN,HUMAN
GSM2275158,TRAIN,HUMAN
GSM2277350,TRAIN,HUMAN
GSM2277369,TRAIN,HUMAN
GSM2277375,TRAIN,HUMAN
GSM2277391,TRAIN,HUMAN
GSM2277393,TRAIN,HUMAN
GSM2277405,TRAIN,HUMAN
GSM2279015,TRAIN,HUMAN
GSM2281044,TRAIN,HUMAN
GSM2282040,TRAIN,HUMAN
GSM2284650,TRAIN,HUMAN
GSM2285372,TRAIN,HUMAN
GSM2285373,TRAIN,HUMAN
GSM2285818,TRAIN,HUMAN
GSM2285819,TRAIN,HUMAN
GSM2287788,TRAIN,HUMAN
GSM2287793,TRAIN,HUMAN
GSM2287795,TRAIN,HUMAN
GSM2288695,TRAIN,HUMAN
GSM2288696,TRAIN,HUMAN
GSM2290616,TRAIN,HUMAN
GSM2292836,TRAIN,HUMAN
GSM2301453,TRAIN,HUMAN
GSM2302131,TRAIN,HUMAN
GSM2304952,TRAIN,HUMAN
GSM2305330,TRAIN,HUMAN
GSM2305931,TRAIN,HUMAN
GSM2308690,TRAIN,HUMAN
GSM2309542,TRAIN,HUMAN
GSM2309566,TRAIN,HUMAN
GSM2309598,TRAIN,HUMAN
GSM2309631,TRAIN,HUMAN
GSM2309932,TRAIN,HUMAN
GSM2310255,TRAIN,HUMAN
GSM2316495,TRAIN,HUMAN
GSM2318134,TRAIN,HUMAN
GSM2319596,TRAIN,HUMAN
GSM2320014,TRAIN,HUMAN
GSM2321796,TRAIN,HUMAN
GSM2321882,TRAIN,HUMAN
GSM2321903,TRAIN,HUMAN
GSM2322528,TRAIN,HUMAN
GSM2323834,TRAIN,HUMAN
GSM2324207,TRAIN,HUMAN
GSM2324250,TRAIN,HUMAN
GSM2324266,TRAIN,HUMAN
GSM2324288,TRAIN,HUMAN
GSM2325076,TRAIN,HUMAN
GSM2325731,TRAIN,HUMAN
GSM2327728,TRAIN,HUMAN
GSM2328317,TRAIN,HUMAN
GSM2328332,TRAIN,HUMAN
GSM2328817,TRAIN,HUMAN
GSM2330624,TRAIN,HUMAN
GSM2332884,TRAIN,HUMAN
GSM2333022,TRAIN,HUMAN
GSM2333463,TRAIN,HUMAN
GSM2333757,TRAIN,HUMAN
GSM2343081,TRAIN,HUMAN
GSM2343181,TRAIN,HUMAN
GSM2343307,TRAIN,HUMAN
GSM2343628,TRAIN,HUMAN
GSM2343652,TRAIN,HUMAN
GSM2343672,TRAIN,HUMAN
GSM2343856,TRAIN,HUMAN
GSM2343872,TRAIN,HUMAN
GSM2343959,TRAIN,HUMAN
GSM2344037,TRAIN,HUMAN
GSM2344095,TRAIN,HUMAN
GSM2344111,TRAIN,HUMAN
GSM2344132,TRAIN,HUMAN
GSM2344356,TRAIN,HUMAN
GSM2345075,TRAIN,HUMAN
GSM2348848,TRAIN,HUMAN
GSM2350123,TRAIN,HUMAN
GSM2350358,TRAIN,HUMAN
GSM2355460,TRAIN,HUMAN
GSM2355675,TRAIN,HUMAN
GSM2357388,TRAIN,HUMAN
GSM2358054,TRAIN,HUMAN
GSM2358071,TRAIN,HUMAN
GSM2359206,TRAIN,HUMAN
GSM2359264,TRAIN,HUMAN
GSM2361369,TRAIN,HUMAN
GSM2361405,TRAIN,HUMAN
GSM2361408,TRAIN,HUMAN
GSM2367470,TRAIN,HUMAN
GSM2369731,TRAIN,HUMAN
GSM2369858,TRAIN,HUMAN
GSM2369921,TRAIN,HUMAN
GSM2369937,TRAIN,HUMAN
GSM2369981,TRAIN,HUMAN
GSM2370029,TRAIN,HUMAN
GSM2370114,TRAIN,HUMAN
GSM2370122,TRAIN,HUMAN
GSM2370197,TRAIN,HUMAN
GSM2370350,TRAIN,HUMAN
GSM2370363,TRAIN,HUMAN
GSM2370381,TRAIN,HUMAN
GSM2370432,TRAIN,HUMAN
GSM2370520,TRAIN,HUMAN
GSM2370562,TRAIN,HUMAN
GSM2370600,TRAIN,HUMAN
GSM2371126,TRAIN,HUMAN
GSM2371158,TRAIN,HUMAN
GSM2371277,TRAIN,HUMAN
GSM2371290,TRAIN,HUMAN
GSM2373106,TRAIN,HUMAN
GSM2375018,TRAIN,HUMAN
GSM2375020,TRAIN,HUMAN
GSM2383924,TRAIN,HUMAN
GSM2384970,TRAIN,HUMAN
GSM2386557,TRAIN,HUMAN
GSM2389042,TRAIN,HUMAN
GSM2390662,TRAIN,HUMAN
GSM2390814,TRAIN,HUMAN
GSM2390822,TRAIN,HUMAN
GSM2390833,TRAIN,HUMAN
GSM2390936,TRAIN,HUMAN
GSM2390975,TRAIN,HUMAN
GSM2391003,TRAIN,HUMAN
GSM2391050,TRAIN,HUMAN
GSM2391104,TRAIN,HUMAN
GSM2391222,TRAIN,HUMAN
GSM2391351,TRAIN,HUMAN
GSM2392269,TRAIN,HUMAN
GSM2392703,TRAIN,HUMAN
GSM2392725,TRAIN,HUMAN
GSM2392741,TRAIN,HUMAN
GSM2393189,TRAIN,HUMAN
GSM2394154,TRAIN,HUMAN
GSM2395543,TRAIN,HUMAN
GSM2396636,TRAIN,HUMAN
GSM2397000,TRAIN,HUMAN
GSM2407004,TRAIN,HUMAN
GSM2410398,TRAIN,HUMAN
GSM2411756,TRAIN,HUMAN
GSM2411821,TRAIN,HUMAN
GSM2411823,TRAIN,HUMAN
GSM2411944,TRAIN,HUMAN
GSM2412776,TRAIN,HUMAN
GSM2414769,TRAIN,HUMAN
GSM2416606,TRAIN,HUMAN
GSM2421516,TRAIN,HUMAN
GSM2421691,TRAIN,HUMAN
GSM2422547,TRAIN,HUMAN
GSM2424460,TRAIN,HUMAN
GSM2424734,TRAIN,HUMAN
GSM2427821,TRAIN,HUMAN
GSM2427912,TRAIN,HUMAN
GSM2428870,TRAIN,HUMAN
GSM2430380,TRAIN,HUMAN
GSM2430384,TRAIN,HUMAN
GSM2430710,TRAIN,HUMAN
GSM2431194,TRAIN,HUMAN
GSM2431198,TRAIN,HUMAN
GSM2431200,TRAIN,HUMAN
GSM2431259,TRAIN,HUMAN
GSM2431261,TRAIN,HUMAN
GSM2431614,TRAIN,HUMAN
GSM2431643,TRAIN,HUMAN
GSM2433710,TRAIN,HUMAN
GSM2433970,TRAIN,HUMAN
GSM2436477,TRAIN,HUMAN
GSM2439124,TRAIN,HUMAN
GSM2440291,TRAIN,HUMAN
GSM2440325,TRAIN,HUMAN
GSM2445077,TRAIN,HUMAN
GSM2445644,TRAIN,HUMAN
GSM2449046,TRAIN,HUMAN
GSM2449445,TRAIN,HUMAN
GSM2449977,TRAIN,HUMAN
GSM2451258,TRAIN,HUMAN
GSM2451281,TRAIN,HUMAN
GSM2451293,TRAIN,HUMAN
GSM2451317,TRAIN,HUMAN
GSM2451332,TRAIN,HUMAN
GSM2453530,TRAIN,HUMAN
GSM2453539,TRAIN,HUMAN
GSM2455391,TRAIN,HUMAN
GSM2455399,TRAIN,HUMAN
GSM2458861,TRAIN,HUMAN
GSM2458873,TRAIN,HUMAN
GSM2458935,TRAIN,HUMAN
GSM2458943,TRAIN,HUMAN
GSM2458985,TRAIN,HUMAN
GSM2458987,TRAIN,HUMAN
GSM2459013,TRAIN,HUMAN
GSM2459959,TRAIN,HUMAN
GSM2460811,TRAIN,HUMAN
GSM2462064,TRAIN,HUMAN
GSM2464322,TRAIN,HUMAN
GSM2464332,TRAIN,HUMAN
GSM2466948,TRAIN,HUMAN
GSM2467390,TRAIN,HUMAN
GSM2467490,TRAIN,HUMAN
GSM2469560,TRAIN,HUMAN
GSM2469585,TRAIN,HUMAN
GSM2471090,TRAIN,HUMAN
GSM2471264,TRAIN,HUMAN
GSM2471279,TRAIN,HUMAN
GSM2471292,TRAIN,HUMAN
GSM2473802,TRAIN,HUMAN
