geo_accession,split,species
GSM1182897,TRAIN,MOUSE
GSM1184613,TRAIN,MOUSE
GSM1193593,TRAIN,MOUSE
GSM1193901,TRAIN,MOUSE
GSM1198175,TRAIN,MOUSE
GSM1210260,TRAIN,MOUSE
GSM1257570,TRAIN,MOUSE
GSM1261658,TRAIN,MOUSE
GSM1262109,TRAIN,MOUSE
GSM1262121,TRAIN,MOUSE
GSM1269903,TRAIN,MOUSE
GSM1276445,TRAIN,MOUSE
GSM1276460,TRAIN,MOUSE
GSM1277085,TRAIN,MOUSE
GSM1277963,TRAIN,MOUSE
GSM1280442,TRAIN,MOUSE
GSM1294666,TRAIN,MOUSE
GSM1294856,TRAIN,MOUSE
GSM1296546,TRAIN,MOUSE
GSM1300766,TRAIN,MOUSE
GSM1304794,TRAIN,MOUSE
GSM1307932,TRAIN,MOUSE
GSM1308575,TRAIN,MOUSE
GSM1315801,TRAIN,MOUSE
GSM1316967,TRAIN,MOUSE
GSM1319109,TRAIN,MOUSE
GSM1321292,TRAIN,MOUSE
GSM1321327,TRAIN,MOUSE
GSM1327884,TRAIN,MOUSE
GSM1331910,TRAIN,MOUSE
GSM1346225,TRAIN,MOUSE
GSM1362952,TRAIN,MOUSE
GSM1366232,TRAIN,MOUSE
GSM1370917,TRAIN,MOUSE
GSM1377886,TRAIN,MOUSE
GSM1377900,TRAIN,MOUSE
GSM1383883,TRAIN,MOUSE
GSM1386881,TRAIN,MOUSE
GSM1389743,TRAIN,MOUSE
GSM1400581,TRAIN,MOUSE
GSM1406449,TRAIN,MOUSE
GSM1412840,TRAIN,MOUSE
GSM1412990,TRAIN,MOUSE
GSM1416703,TRAIN,MOUSE
GSM1418849,TRAIN,MOUSE
GSM1420240,TRAIN,MOUSE
GSM1422166,TRAIN,MOUSE
GSM1422391,TRAIN,MOUSE
GSM1423597,TRAIN,MOUSE
GSM1434991,TRAIN,MOUSE
GSM1437642,TRAIN,MOUSE
GSM1437745,TRAIN,MOUSE
GSM1446821,TRAIN,MOUSE
GSM1447132,TRAIN,MOUSE
GSM1448826,TRAIN,MOUSE
GSM1470819,TRAIN,MOUSE
GSM1470844,TRAIN,MOUSE
GSM1470849,TRAIN,MOUSE
GSM1477423,TRAIN,MOUSE
GSM1483096,TRAIN,MOUSE
GSM1489509,TRAIN,MOUSE
GSM1489672,TRAIN,MOUSE
GSM1503669,TRAIN,MOUSE
GSM1509274,TRAIN,MOUSE
GSM1509287,TRAIN,MOUSE
GSM1511619,TRAIN,MOUSE
GSM1511678,TRAIN,MOUSE
GSM1511699,TRAIN,MOUSE
GSM1511975,TRAIN,MOUSE
GSM1513541,TRAIN,MOUSE
GSM1517293,TRAIN,MOUSE
GSM1517786,TRAIN,MOUSE
GSM1520119,TRAIN,MOUSE
GSM1521448,TRAIN,MOUSE
GSM1521451,TRAIN,MOUSE
GSM1521459,TRAIN,MOUSE
GSM1521476,TRAIN,MOUSE
GSM1524916,TRAIN,MOUSE
GSM1525701,TRAIN,MOUSE
GSM1525702,TRAIN,MOUSE
GSM1525704,TRAIN,MOUSE
GSM1525710,TRAIN,MOUSE
GSM1526861,TRAIN,MOUSE
GSM1527646,TRAIN,MOUSE
GSM1528814,TRAIN,MOUSE
GSM1530721,TRAIN,MOUSE
GSM1530866,TRAIN,MOUSE
GSM1531204,TRAIN,MOUSE
GSM1533200,TRAIN,MOUSE
GSM1533381,TRAIN,MOUSE
GSM1535886,TRAIN,MOUSE
GSM1537321,TRAIN,MOUSE
GSM1537355,TRAIN,MOUSE
GSM1537360,TRAIN,MOUSE
GSM1537397,TRAIN,MOUSE
GSM1537448,TRAIN,MOUSE
GSM1537458,TRAIN,MOUSE
GSM1543503,TRAIN,MOUSE
GSM1543815,TRAIN,MOUSE
GSM1544366,TRAIN,MOUSE
GSM1545539,TRAIN,MOUSE
GSM1546044,TRAIN,MOUSE
GSM1547652,TRAIN,MOUSE
GSM1547665,TRAIN,MOUSE
GSM1548509,TRAIN,MOUSE
GSM1551067,TRAIN,MOUSE
GSM1551072,TRAIN,MOUSE
GSM1552886,TRAIN,MOUSE
GSM1553054,TRAIN,MOUSE
GSM1553066,TRAIN,MOUSE
GSM1555057,TRAIN,MOUSE
GSM1556709,TRAIN,MOUSE
GSM1556733,TRAIN,MOUSE
GSM1556748,TRAIN,MOUSE
GSM1556749,TRAIN,MOUSE
GSM1556767,TRAIN,MOUSE
GSM1556768,TRAIN,MOUSE
GSM1558516,TRAIN,MOUSE
GSM1558522,TRAIN,MOUSE
GSM1561016,TRAIN,MOUSE
GSM1561058,TRAIN,MOUSE
GSM1569078,TRAIN,MOUSE
GSM1569662,TRAIN,MOUSE
GSM1569665,TRAIN,MOUSE
GSM1569853,TRAIN,MOUSE
GSM1569864,TRAIN,MOUSE
GSM1571185,TRAIN,MOUSE
GSM1571187,TRAIN,MOUSE
GSM1571190,TRAIN,MOUSE
GSM1571771,TRAIN,MOUSE
GSM1580503,TRAIN,MOUSE
GSM1581283,TRAIN,MOUSE
GSM1585047,TRAIN,MOUSE
GSM1585345,TRAIN,MOUSE
GSM1585349,TRAIN,MOUSE
GSM1588637,TRAIN,MOUSE
GSM1592349,TRAIN,MOUSE
GSM1592860,TRAIN,MOUSE
GSM1593027,TRAIN,MOUSE
GSM1593163,TRAIN,MOUSE
GSM1598395,TRAIN,MOUSE
GSM1599490,TRAIN,MOUSE
GSM1601667,TRAIN,MOUSE
GSM1601676,TRAIN,MOUSE
GSM1601744,TRAIN,MOUSE
GSM1601754,TRAIN,MOUSE
GSM1602683,TRAIN,MOUSE
GSM1603421,TRAIN,MOUSE
GSM1604014,TRAIN,MOUSE
GSM1605060,TRAIN,MOUSE
GSM1605409,TRAIN,MOUSE
GSM1605414,TRAIN,MOUSE
GSM1605466,TRAIN,MOUSE
GSM1605766,TRAIN,MOUSE
GSM1605857,TRAIN,MOUSE
GSM1605957,TRAIN,MOUSE
GSM1605985,TRAIN,MOUSE
GSM1605990,TRAIN,MOUSE
GSM1606064,TRAIN,MOUSE
GSM1606076,TRAIN,MOUSE
GSM1606643,TRAIN,MOUSE
GSM1608054,TRAIN,MOUSE
GSM1608257,TRAIN,MOUSE
GSM1611223,TRAIN,MOUSE
GSM1611641,TRAIN,MOUSE
GSM1611690,TRAIN,MOUSE
GSM1613120,TRAIN,MOUSE
GSM1614854,TRAIN,MOUSE
GSM1621063,TRAIN,MOUSE
GSM1621269,TRAIN,MOUSE
GSM1622921,TRAIN,MOUSE
GSM1624826,TRAIN,MOUSE
GSM1624981,TRAIN,MOUSE
GSM1625881,TRAIN,MOUSE
GSM1626646,TRAIN,MOUSE
GSM1626670,TRAIN,MOUSE
GSM1626671,TRAIN,MOUSE
GSM1626672,TRAIN,MOUSE
GSM1626722,TRAIN,MOUSE
GSM1627852,TRAIN,MOUSE
GSM1630490,TRAIN,MOUSE
GSM1633659,TRAIN,MOUSE
GSM1633664,TRAIN,MOUSE
GSM1633723,TRAIN,MOUSE
GSM1634867,TRAIN,MOUSE
GSM1641470,TRAIN,MOUSE
GSM1642945,TRAIN,MOUSE
GSM1643284,TRAIN,MOUSE
GSM1645426,TRAIN,MOUSE
GSM1645449,TRAIN,MOUSE
GSM1646357,TRAIN,MOUSE
GSM1648794,TRAIN,MOUSE
GSM1652654,TRAIN,MOUSE
GSM1654754,TRAIN,MOUSE
GSM1657395,TRAIN,MOUSE
GSM1664713,TRAIN,MOUSE
GSM1665132,TRAIN,MOUSE
GSM1666850,TRAIN,MOUSE
GSM1668275,TRAIN,MOUSE
GSM1668318,TRAIN,MOUSE
GSM1668361,TRAIN,MOUSE
GSM1670747,TRAIN,MOUSE
GSM1670763,TRAIN,MOUSE
GSM1671329,TRAIN,MOUSE
GSM1672255,TRAIN,MOUSE
GSM1672256,TRAIN,MOUSE
GSM1674138,TRAIN,MOUSE
GSM1677459,TRAIN,MOUSE
GSM1681442,TRAIN,MOUSE
GSM1685049,TRAIN,MOUSE
GSM1686486,TRAIN,MOUSE
GSM1686498,TRAIN,MOUSE
GSM1686500,TRAIN,MOUSE
GSM1694177,TRAIN,MOUSE
GSM1694293,TRAIN,MOUSE
GSM1695232,TRAIN,MOUSE
GSM1695931,TRAIN,MOUSE
GSM1701914,TRAIN,MOUSE
GSM1703880,TRAIN,MOUSE
GSM1705341,TRAIN,MOUSE
GSM1705362,TRAIN,MOUSE
GSM1706493,TRAIN,MOUSE
GSM1708061,TRAIN,MOUSE
GSM1709044,TRAIN,MOUSE
GSM1711995,TRAIN,MOUSE
GSM1715791,TRAIN,MOUSE
GSM1715795,TRAIN,MOUSE
GSM1717218,TRAIN,MOUSE
GSM1717428,TRAIN,MOUSE
GSM1722226,TRAIN,MOUSE
GSM1722275,TRAIN,MOUSE
GSM1722421,TRAIN,MOUSE
GSM1722469,TRAIN,MOUSE
GSM1722536,TRAIN,MOUSE
GSM1722574,TRAIN,MOUSE
GSM1723433,TRAIN,MOUSE
GSM1724258,TRAIN,MOUSE
GSM1725716,TRAIN,MOUSE
GSM1725906,TRAIN,MOUSE
GSM1725909,TRAIN,MOUSE
GSM1754851,TRAIN,MOUSE
GSM1754915,TRAIN,MOUSE
GSM1781733,TRAIN,MOUSE
GSM1782792,TRAIN,MOUSE
GSM1782802,TRAIN,MOUSE
GSM1782806,TRAIN,MOUSE
GSM1788711,TRAIN,MOUSE
GSM1808312,TRAIN,MOUSE
GSM1808838,TRAIN,MOUSE
GSM1816697,TRAIN,MOUSE
GSM1816949,TRAIN,MOUSE
GSM1816956,TRAIN,MOUSE
GSM1817052,TRAIN,MOUSE
GSM1819998,TRAIN,MOUSE
GSM1820458,TRAIN,MOUSE
GSM1821260,TRAIN,MOUSE
GSM1824710,TRAIN,MOUSE
GSM1828880,TRAIN,MOUSE
GSM1831220,TRAIN,MOUSE
GSM1831461,TRAIN,MOUSE
GSM1832295,TRAIN,MOUSE
GSM1833799,TRAIN,MOUSE
GSM1834941,TRAIN,MOUSE
GSM1835077,TRAIN,MOUSE
GSM1836362,TRAIN,MOUSE
GSM1836482,TRAIN,MOUSE
GSM1838381,TRAIN,MOUSE
GSM1841019,TRAIN,MOUSE
GSM1842778,TRAIN,MOUSE
GSM1842785,TRAIN,MOUSE
GSM1844346,TRAIN,MOUSE
GSM1845078,TRAIN,MOUSE
GSM1847083,TRAIN,MOUSE
GSM1847130,TRAIN,MOUSE
GSM1848929,TRAIN,MOUSE
GSM1853999,TRAIN,MOUSE
GSM1854000,TRAIN,MOUSE
GSM1854002,TRAIN,MOUSE
GSM1855270,TRAIN,MOUSE
GSM1855271,TRAIN,MOUSE
GSM1859233,TRAIN,MOUSE
GSM1859237,TRAIN,MOUSE
GSM1860529,TRAIN,MOUSE
GSM1860547,TRAIN,MOUSE
GSM1861133,TRAIN,MOUSE
GSM1861142,TRAIN,MOUSE
GSM1861889,TRAIN,MOUSE
GSM1865052,TRAIN,MOUSE
GSM1865873,TRAIN,MOUSE
GSM1866629,TRAIN,MOUSE
GSM1869305,TRAIN,MOUSE
GSM1869595,TRAIN,MOUSE
GSM1869621,TRAIN,MOUSE
GSM1869818,TRAIN,MOUSE
GSM1873363,TRAIN,MOUSE
GSM1875517,TRAIN,MOUSE
GSM1875538,TRAIN,MOUSE
GSM1880866,TRAIN,MOUSE
GSM1890906,TRAIN,MOUSE
GSM1894180,TRAIN,MOUSE
GSM1895212,TRAIN,MOUSE
GSM1895260,TRAIN,MOUSE
GSM1895307,TRAIN,MOUSE
GSM1895327,TRAIN,MOUSE
GSM1895373,TRAIN,MOUSE
GSM1896298,TRAIN,MOUSE
GSM1896349,TRAIN,MOUSE
GSM1896432,TRAIN,MOUSE
GSM1897503,TRAIN,MOUSE
GSM1897742,TRAIN,MOUSE
GSM1897846,TRAIN,MOUSE
GSM1898083,TRAIN,MOUSE
GSM1900067,TRAIN,MOUSE
GSM1901002,TRAIN,MOUSE
GSM1902661,TRAIN,MOUSE
GSM1902674,TRAIN,MOUSE
GSM1902678,TRAIN,MOUSE
GSM1904046,TRAIN,MOUSE
GSM1911941,TRAIN,MOUSE
GSM1911943,TRAIN,MOUSE
GSM1912059,TRAIN,MOUSE
GSM1912363,TRAIN,MOUSE
GSM1912997,TRAIN,MOUSE
GSM1914690,TRAIN,MOUSE
GSM1914692,TRAIN,MOUSE
GSM1916468,TRAIN,MOUSE
GSM1919784,TRAIN,MOUSE
GSM1921185,TRAIN,MOUSE
GSM1921960,TRAIN,MOUSE
GSM1922226,TRAIN,MOUSE
GSM1922762,TRAIN,MOUSE
GSM1922767,TRAIN,MOUSE
GSM1923392,TRAIN,MOUSE
GSM1924706,TRAIN,MOUSE
GSM1924707,TRAIN,MOUSE
GSM1924884,TRAIN,MOUSE
GSM1929734,TRAIN,MOUSE
GSM1931649,TRAIN,MOUSE
GSM1933901,TRAIN,MOUSE
GSM1939225,TRAIN,MOUSE
GSM1940203,TRAIN,MOUSE
GSM1941025,TRAIN,MOUSE
GSM1941395,TRAIN,MOUSE
GSM1947168,TRAIN,MOUSE
GSM1947171,TRAIN,MOUSE
GSM1953869,TRAIN,MOUSE
GSM1954801,TRAIN,MOUSE
GSM1955038,TRAIN,MOUSE
GSM1956937,TRAIN,MOUSE
GSM1958350,TRAIN,MOUSE
GSM1960534,TRAIN,MOUSE
GSM1960544,TRAIN,MOUSE
GSM1961884,TRAIN,MOUSE
GSM1966894,TRAIN,MOUSE
GSM1968527,TRAIN,MOUSE
GSM1968613,TRAIN,MOUSE
GSM1968975,TRAIN,MOUSE
GSM1969865,TRAIN,MOUSE
GSM1969867,TRAIN,MOUSE
GSM1970241,TRAIN,MOUSE
GSM1970362,TRAIN,MOUSE
GSM1970446,TRAIN,MOUSE
GSM1970499,TRAIN,MOUSE
GSM1970725,TRAIN,MOUSE
GSM1970776,TRAIN,MOUSE
GSM1970832,TRAIN,MOUSE
GSM1970839,TRAIN,MOUSE
GSM1970899,TRAIN,MOUSE
GSM1971394,TRAIN,MOUSE
GSM1971615,TRAIN,MOUSE
GSM1973536,TRAIN,MOUSE
GSM1973666,TRAIN,MOUSE
GSM1974150,TRAIN,MOUSE
GSM1974187,TRAIN,MOUSE
GSM1974222,TRAIN,MOUSE
GSM1974896,TRAIN,MOUSE
GSM1976425,TRAIN,MOUSE
GSM1977052,TRAIN,MOUSE
GSM1979175,TRAIN,MOUSE
GSM1981222,TRAIN,MOUSE
GSM1988207,TRAIN,MOUSE
GSM2012265,TRAIN,MOUSE
GSM2026359,TRAIN,MOUSE
GSM2026717,TRAIN,MOUSE
GSM2027225,TRAIN,MOUSE
GSM2027357,TRAIN,MOUSE
GSM2027368,TRAIN,MOUSE
GSM2028061,TRAIN,MOUSE
GSM2028885,TRAIN,MOUSE
GSM2037158,TRAIN,MOUSE
GSM2037975,TRAIN,MOUSE
GSM2040552,TRAIN,MOUSE
GSM2040980,TRAIN,MOUSE
GSM2045595,TRAIN,MOUSE
GSM2045914,TRAIN,MOUSE
GSM2046502,TRAIN,MOUSE
GSM2049241,TRAIN,MOUSE
GSM2055733,TRAIN,MOUSE
GSM2056865,TRAIN,MOUSE
GSM2056870,TRAIN,MOUSE
GSM2057010,TRAIN,MOUSE
GSM2057015,TRAIN,MOUSE
GSM2057843,TRAIN,MOUSE
GSM2058000,TRAIN,MOUSE
GSM2058001,TRAIN,MOUSE
GSM2058012,TRAIN,MOUSE
GSM2059232,TRAIN,MOUSE
GSM2066413,TRAIN,MOUSE
GSM2066457,TRAIN,MOUSE
GSM2066461,TRAIN,MOUSE
GSM2068928,TRAIN,MOUSE
GSM2068999,TRAIN,MOUSE
GSM2069017,TRAIN,MOUSE
GSM2069021,TRAIN,MOUSE
GSM2069117,TRAIN,MOUSE
GSM2069152,TRAIN,MOUSE
GSM2069155,TRAIN,MOUSE
GSM2069203,TRAIN,MOUSE
GSM2070661,TRAIN,MOUSE
GSM2070707,TRAIN,MOUSE
GSM2070724,TRAIN,MOUSE
GSM2070814,TRAIN,MOUSE
GSM2070838,TRAIN,MOUSE
GSM2070962,TRAIN,MOUSE
GSM2070993,TRAIN,MOUSE
GSM2071012,TRAIN,MOUSE
GSM2071373,TRAIN,MOUSE
GSM2071490,TRAIN,MOUSE
GSM2071653,TRAIN,MOUSE
GSM2075557,TRAIN,MOUSE
GSM2080821,TRAIN,MOUSE
GSM2085040,TRAIN,MOUSE
GSM2089116,TRAIN,MOUSE
GSM2089168,TRAIN,MOUSE
GSM2089222,TRAIN,MOUSE
GSM2089287,TRAIN,MOUSE
GSM2089313,TRAIN,MOUSE
GSM2089357,TRAIN,MOUSE
GSM2089361,TRAIN,MOUSE
GSM2089389,TRAIN,MOUSE
GSM2089443,TRAIN,MOUSE
GSM2089470,TRAIN,MOUSE
GSM2089512,TRAIN,MOUSE
GSM2089526,TRAIN,MOUSE
GSM2089565,TRAIN,MOUSE
GSM2090883,TRAIN,MOUSE
GSM2091181,TRAIN,MOUSE
GSM2091185,TRAIN,MOUSE
GSM2091210,TRAIN,MOUSE
GSM2091224,TRAIN,MOUSE
GSM2095305,TRAIN,MOUSE
GSM2096966,TRAIN,MOUSE
GSM2097922,TRAIN,MOUSE
GSM2097928,TRAIN,MOUSE
GSM2097959,TRAIN,MOUSE
GSM2098084,TRAIN,MOUSE
GSM2098394,TRAIN,MOUSE
GSM2099796,TRAIN,MOUSE
GSM2099891,TRAIN,MOUSE
GSM2101716,TRAIN,MOUSE
GSM2102051,TRAIN,MOUSE
GSM2102811,TRAIN,MOUSE
GSM2104102,TRAIN,MOUSE
GSM2108970,TRAIN,MOUSE
GSM2112679,TRAIN,MOUSE
GSM2112849,TRAIN,MOUSE
GSM2112858,TRAIN,MOUSE
GSM2113036,TRAIN,MOUSE
GSM2113055,TRAIN,MOUSE
GSM2113058,TRAIN,MOUSE
GSM2121187,TRAIN,MOUSE
GSM2124884,TRAIN,MOUSE
GSM2125478,TRAIN,MOUSE
GSM2127291,TRAIN,MOUSE
GSM2127307,TRAIN,MOUSE
GSM2127494,TRAIN,MOUSE
GSM2127504,TRAIN,MOUSE
GSM2127868,TRAIN,MOUSE
GSM2127877,TRAIN,MOUSE
GSM2130851,TRAIN,MOUSE
GSM2130853,TRAIN,MOUSE
GSM2139678,TRAIN,MOUSE
GSM2143352,TRAIN,MOUSE
GSM2147008,TRAIN,MOUSE
GSM2149130,TRAIN,MOUSE
GSM2151260,TRAIN,MOUSE
GSM2151266,TRAIN,MOUSE
GSM2151282,TRAIN,MOUSE
GSM2152174,TRAIN,MOUSE
GSM2154626,TRAIN,MOUSE
GSM2154828,TRAIN,MOUSE
GSM2154960,TRAIN,MOUSE
GSM2157520,TRAIN,MOUSE
GSM2166117,TRAIN,MOUSE
GSM2166171,TRAIN,MOUSE
GSM2174996,TRAIN,MOUSE
GSM2177736,TRAIN,MOUSE
GSM2178234,TRAIN,MOUSE
GSM2179723,TRAIN,MOUSE
GSM2179807,TRAIN,MOUSE
GSM2180027,TRAIN,MOUSE
GSM2183529,TRAIN,MOUSE
GSM2184951,TRAIN,MOUSE
GSM2185012,TRAIN,MOUSE
GSM2185086,TRAIN,MOUSE
GSM2186298,TRAIN,MOUSE
GSM2188285,TRAIN,MOUSE
GSM2188325,TRAIN,MOUSE
GSM2188367,TRAIN,MOUSE
GSM2188389,TRAIN,MOUSE
GSM2194157,TRAIN,MOUSE
GSM2195195,TRAIN,MOUSE
GSM2196102,TRAIN,MOUSE
GSM2196484,TRAIN,MOUSE
GSM2197665,TRAIN,MOUSE
GSM2197699,TRAIN,MOUSE
GSM2199442,TRAIN,MOUSE
GSM2200044,TRAIN,MOUSE
GSM2201140,TRAIN,MOUSE
GSM2203924,TRAIN,MOUSE
GSM2204033,TRAIN,MOUSE
GSM2204040,TRAIN,MOUSE
GSM2209266,TRAIN,MOUSE
GSM2209290,TRAIN,MOUSE
GSM2209333,TRAIN,MOUSE
GSM2211250,TRAIN,MOUSE
GSM2211267,TRAIN,MOUSE
GSM2212296,TRAIN,MOUSE
GSM2218871,TRAIN,MOUSE
GSM2219019,TRAIN,MOUSE
GSM2219153,TRAIN,MOUSE
GSM2220598,TRAIN,MOUSE
GSM2226556,TRAIN,MOUSE
GSM2226661,TRAIN,MOUSE
GSM2227352,TRAIN,MOUSE
GSM2227610,TRAIN,MOUSE
GSM2227615,TRAIN,MOUSE
GSM2229393,TRAIN,MOUSE
GSM2230329,TRAIN,MOUSE
GSM2230638,TRAIN,MOUSE
GSM2230639,TRAIN,MOUSE
GSM2233052,TRAIN,MOUSE
GSM2233346,TRAIN,MOUSE
GSM2236604,TRAIN,MOUSE
GSM2236670,TRAIN,MOUSE
GSM2236681,TRAIN,MOUSE
GSM2238406,TRAIN,MOUSE
GSM2238612,TRAIN,MOUSE
GSM2241716,TRAIN,MOUSE
GSM2241765,TRAIN,MOUSE
GSM2242283,TRAIN,MOUSE
GSM2247359,TRAIN,MOUSE
GSM2247527,TRAIN,MOUSE
GSM2247813,TRAIN,MOUSE
GSM2251135,TRAIN,MOUSE
GSM2251516,TRAIN,MOUSE
GSM2251683,TRAIN,MOUSE
GSM2251874,TRAIN,MOUSE
GSM2254259,TRAIN,MOUSE
GSM2256297,TRAIN,MOUSE
GSM2256342,TRAIN,MOUSE
GSM2256683,TRAIN,MOUSE
GSM2258629,TRAIN,MOUSE
GSM2262644,TRAIN,MOUSE
GSM2263069,TRAIN,MOUSE
GSM2263163,TRAIN,MOUSE
GSM2263178,TRAIN,MOUSE
GSM2266112,TRAIN,MOUSE
GSM2266434,TRAIN,MOUSE
GSM2267259,TRAIN,MOUSE
GSM2267575,TRAIN,MOUSE
GSM2267733,TRAIN,MOUSE
GSM2267952,TRAIN,MOUSE
GSM2278997,TRAIN,MOUSE
GSM2280109,TRAIN,MOUSE
GSM2280111,TRAIN,MOUSE
GSM2280113,TRAIN,MOUSE
GSM2280195,TRAIN,MOUSE
GSM2281934,TRAIN,MOUSE
GSM2283563,TRAIN,MOUSE
GSM2284243,TRAIN,MOUSE
GSM2284394,TRAIN,MOUSE
GSM2284564,TRAIN,MOUSE
GSM2284641,TRAIN,MOUSE
GSM2284992,TRAIN,MOUSE
GSM2286417,TRAIN,MOUSE
GSM2289995,TRAIN,MOUSE
GSM2289999,TRAIN,MOUSE
GSM2290129,TRAIN,MOUSE
GSM2292856,TRAIN,MOUSE
GSM2292864,TRAIN,MOUSE
GSM2292962,TRAIN,MOUSE
GSM2293211,TRAIN,MOUSE
GSM2293811,TRAIN,MOUSE
GSM2293892,TRAIN,MOUSE
GSM2298907,TRAIN,MOUSE
GSM2301470,TRAIN,MOUSE
GSM2301985,TRAIN,MOUSE
GSM2301988,TRAIN,MOUSE
GSM2307537,TRAIN,MOUSE
GSM2307548,TRAIN,MOUSE
GSM2307991,TRAIN,MOUSE
GSM2308810,TRAIN,MOUSE
GSM2309043,TRAIN,MOUSE
GSM2310022,TRAIN,MOUSE
GSM2310968,TRAIN,MOUSE
GSM2320900,TRAIN,MOUSE
GSM2321979,TRAIN,MOUSE
GSM2321997,TRAIN,MOUSE
GSM2322161,TRAIN,MOUSE
GSM2322163,TRAIN,MOUSE
GSM2327507,TRAIN,MOUSE
GSM2328856,TRAIN,MOUSE
GSM2330065,TRAIN,MOUSE
GSM2332951,TRAIN,MOUSE
GSM2332952,TRAIN,MOUSE
GSM2333076,TRAIN,MOUSE
GSM2333581,TRAIN,MOUSE
GSM2333671,TRAIN,MOUSE
GSM2333837,TRAIN,MOUSE
GSM2335012,TRAIN,MOUSE
GSM2336795,TRAIN,MOUSE
GSM2337235,TRAIN,MOUSE
GSM2338503,TRAIN,MOUSE
GSM2338510,TRAIN,MOUSE
GSM2338713,TRAIN,MOUSE
GSM2338780,TRAIN,MOUSE
GSM2339506,TRAIN,MOUSE
GSM2339922,TRAIN,MOUSE
GSM2341166,TRAIN,MOUSE
GSM2341325,TRAIN,MOUSE
GSM2341971,TRAIN,MOUSE
GSM2342155,TRAIN,MOUSE
GSM2345134,TRAIN,MOUSE
GSM2345147,TRAIN,MOUSE
GSM2345455,TRAIN,MOUSE
GSM2348258,TRAIN,MOUSE
GSM2349840,TRAIN,MOUSE
GSM2354097,TRAIN,MOUSE
GSM2356908,TRAIN,MOUSE
GSM2356926,TRAIN,MOUSE
GSM2357473,TRAIN,MOUSE
GSM2357669,TRAIN,MOUSE
GSM2357704,TRAIN,MOUSE
GSM2358987,TRAIN,MOUSE
GSM2360216,TRAIN,MOUSE
GSM2360539,TRAIN,MOUSE
GSM2360556,TRAIN,MOUSE
GSM2360766,TRAIN,MOUSE
GSM2360782,TRAIN,MOUSE
GSM2365786,TRAIN,MOUSE
GSM2366999,TRAIN,MOUSE
GSM2370941,TRAIN,MOUSE
GSM2371430,TRAIN,MOUSE
GSM2371516,TRAIN,MOUSE
GSM2371616,TRAIN,MOUSE
GSM2371663,TRAIN,MOUSE
GSM2373573,TRAIN,MOUSE
GSM2385837,TRAIN,MOUSE
GSM2386318,TRAIN,MOUSE
GSM2386615,TRAIN,MOUSE
GSM2386690,TRAIN,MOUSE
GSM2386799,TRAIN,MOUSE
GSM2387207,TRAIN,MOUSE
GSM2388073,TRAIN,MOUSE
GSM2388394,TRAIN,MOUSE
GSM2390093,TRAIN,MOUSE
GSM2390614,TRAIN,MOUSE
GSM2390619,TRAIN,MOUSE
GSM2392497,TRAIN,MOUSE
GSM2392757,TRAIN,MOUSE
GSM2396603,TRAIN,MOUSE
GSM2397007,TRAIN,MOUSE
GSM2397034,TRAIN,MOUSE
GSM2399734,TRAIN,MOUSE
GSM2400098,TRAIN,MOUSE
GSM2400116,TRAIN,MOUSE
GSM2401621,TRAIN,MOUSE
GSM2402679,TRAIN,MOUSE
GSM2402692,TRAIN,MOUSE
